Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
WCHQ-AP-6E4        ABC-OFFICES  20:4c:03:b4:aa:0d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ba:00  10.11.3.241:8514  2021-08-04 08:27:42   1         Current    
WCHQ-AP-6E7        ABC-OFFICES  20:4c:03:b4:d5:2c  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:04:2e  10.11.2.135:8514  2021-05-19 13:09:51   0         OutOfDate  
WCHQ-AP-6E3        ABC-OFFICES  20:4c:03:b4:d2:4c  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:07:2e  10.11.2.141:8514  2021-06-08 16:44:44   0         OutOfDate  
d0:d3:e0:c2:00:fe  ABC-OFFICES  20:4c:03:b4:cd:a7  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:fe  10.11.3.186:8514  2021-08-04 08:28:35   1         Current    
WCHQ-AP-6W5        ABC-OFFICES  20:4c:03:b4:cc:36  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:76  10.11.3.253:8514  2021-08-04 08:28:04   1         Current    
d0:d3:e0:c2:00:c6  default      20:4c:03:b4:cc:73  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:00:c6  10.11.3.39:8514   2021-07-13 10:36:58   0         OutOfDate  
d0:d3:e0:c1:f7:d6  default      20:4c:03:b4:cf:96  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f7:d6  10.11.3.176:8514  2021-07-12 12:48:36   0         OutOfDate  
d0:d3:e0:c1:fa:ce  default      20:4c:03:b4:cf:8e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:ce  10.11.3.233:8514  2021-07-06 09:49:47   0         OutOfDate  
d0:d3:e0:c1:f9:46  ABC-OFFICES  20:4c:03:b4:cd:0e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:46  10.11.3.217:8514  2021-08-04 08:28:30   1         Current    
WCHQ-AP-6W7        ABC-OFFICES  20:4c:03:b4:cf:f3  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:66  10.11.2.155:8514  2021-08-04 08:28:25   1         Current    
